house_id,actual_price,proj_price,actual_crypto,proj_crypto,bedrooms,bathrooms,acres,floors,waterfront,view,grade,sqft_above,sqft_basement,yr_built
53,600000,438940.0014,1110,810,3,1.75,0.093663912,1,0,0,7,1000,410,1950
54,585000,435011.2545,1080,800,2,1.75,0.196280992,1,0,0,7,990,990,1981
55,920000,745202.0511,1700,1380,5,2.25,0.137741047,1.5,0,0,8,2130,600,1927
56,885000,708095.9851,1640,1310,4,2.5,0.114784206,2,0,0,9,2830,0,1995
57,292500,305996.8073,540,570,4,2.5,0.103191001,2,0,0,7,2250,0,2008
58,301000,502442.8686,560,930,3,2.5,0.109044995,2,0,0,8,2420,0,2003
59,951000,965727.4737,1760,1790,5,3.25,0.329247016,2,0,4,8,3250,0,1968
60,430000,477291.1441,800,880,4,3,0.229017447,2,0,0,8,1850,0,1991
61,650000,760281.2785,1200,1410,3,2.25,0.487488522,1,0,3,8,1590,560,1959
62,289000,376339.4346,540,700,3,1.75,0.192837466,1,0,0,7,1260,0,1954
63,505000,574318.0907,940,1060,3,1.75,0.199494949,2,0,0,8,2519,0,1973
64,549000,322368.3365,1020,600,3,1.75,0.023966942,3,0,0,8,1540,0,2014
65,425000,391916.0911,790,730,3,2.25,0.137741047,1,0,0,7,1110,550,1979
66,317625,712985.8726,590,1320,3,2.75,0.087442608,1.5,0,0,7,1770,1000,1925
67,975000,838816.7716,1810,1550,4,2.5,0.253650138,2,0,0,10,2720,0,1989
68,287000,314869.9461,530,580,4,2.5,0.106703398,2,0,0,7,2240,0,2005
69,204000,272543.3999,380,500,3,1,0.277089073,1,0,0,7,1000,0,1968
70,1.33E+06,696138.7291,2450,1290,5,2.25,0.462764004,1,0,0,8,1600,1600,1965
71,1.04E+06,1340050.355,1930,2480,5,3.25,1.15,1,0,0,11,3070,1700,1973
72,325000,330565.8253,600,610,3,2,0.128833792,1,0,0,7,1260,0,1972
73,571000,659861.7907,1060,1220,4,2,0.179224059,1.5,0,0,7,2250,500,1916
74,360000,466605.2101,670,860,4,2.5,0.114784206,2,0,0,8,2380,0,2005
75,349000,416010.0852,650,770,3,1.75,1.159986226,1,0,0,7,1090,700,1965
76,832500,1022952.268,1540,1890,4,4,0.805831038,2,0,0,10,2390,1040,1986
77,380000,457556.032,700,850,4,1.75,0.16758494,1,0,0,7,880,880,1956
78,480000,368347.1281,890,680,3,1,0.116161616,1,0,0,7,1040,0,1941
79,410000,383690.8031,760,710,3,1,0.116161616,1,0,0,7,910,500,1956
80,720000,937909.0157,1330,1740,4,2.5,0.910996327,2,0,0,10,3450,0,2002
81,390000,491997.0017,720,910,3,2.5,0.11707989,2,0,0,8,2350,0,2003
82,360000,318217.4869,670,590,4,2.5,0.135192837,2,0,0,7,1900,0,1992
83,355000,506948.9267,660,940,2,1,0.154269972,1,0,0,7,1010,1010,1948
84,356000,487327.48,660,900,3,1.5,0.2,1,0,0,8,1680,0,1964
85,315000,196001.1166,580,360,3,1,0.152295684,1,0,0,6,960,0,1952
86,940000,809102.1777,1740,1500,3,1.5,0.082644628,2,0,0,9,1900,240,1925
87,305000,490847.0346,560,910,5,2.25,0.192837466,1.5,0,0,7,2660,0,1961
88,461000,721237.7407,850,1330,3,3.25,0.144123049,2,0,0,9,1980,790,2006
89,215000,368113.5457,400,680,2,2.25,0.046831956,2,0,0,7,1610,0,1979
90,335000,247144.1805,620,460,2,1.75,0.024471993,2,0,0,7,765,265,2006
91,243500,340119.5775,450,630,4,2.5,0.169949495,2,0,0,7,1980,0,1988
92,1.10E+06,961046.4631,2040,1780,5,2.75,0.145844812,2,0,0,10,3520,0,2001
93,153000,300529.1433,280,560,3,1,0.241046832,1,0,0,7,1200,0,1962
94,430000,587886.0251,800,1090,3,1.5,0.114784206,1,0,0,8,1290,290,1939
95,700000,587886.0251,1300,1090,3,1.5,0.114784206,1,0,0,8,1290,290,1939
96,905000,663428.1967,1680,1230,4,2.5,0.235307622,1,0,0,7,2390,910,1946
97,247500,385169.4102,460,710,3,1.75,0.359986226,1,0,0,7,1960,0,1967
98,199000,262670.1026,370,490,4,1.5,0.146923783,1,0,0,7,1160,0,1975
99,314000,358132.6748,580,660,3,1.75,0.95959596,1,0,0,7,1210,600,1980
100,437500,743409.7291,810,1380,3,2.5,0.845890725,2,0,2,9,2320,0,1992
101,850830,946854.1081,1580,1750,3,2.5,0.303971534,1.5,0,0,9,1270,800,1910
102,555000,564101.0758,1030,1040,3,2,0.079843893,1.5,0,0,7,1440,540,1929
103,699950,491005.4584,1300,910,3,2.25,2.469995409,2,0,0,8,2190,0,1983
104,1.09E+06,769248.1834,2010,1420,3,2.5,0.186248852,2,0,0,8,2920,0,1950
105,290000,320943.7196,540,590,3,1,0.778673095,1,0,0,7,1210,0,1954
106,375000,605064.8951,690,1120,3,2.5,0.229683196,1,0,0,8,1460,880,1978
107,460000,449898.4339,850,830,3,1,0.091942149,1.5,0,0,7,1170,500,1939
108,188500,426129.6543,350,790,2,1.75,0.057231405,1,0,0,8,1240,0,1985
109,680000,908710.7384,1260,1680,4,2.5,0.643640955,2,0,0,10,3140,0,1991
110,470000,433888.2217,870,800,5,1.75,0.283333333,2,0,0,7,2030,0,1942
111,597750,526975.46,1110,970,4,2.5,0.220936639,2,0,0,8,2310,0,1984
112,570000,478328.9109,1060,880,3,1.75,0.076400367,1,0,0,6,700,560,1905
113,272500,334569.9919,500,620,3,1.75,0.289256198,1,0,0,7,1160,380,1980
114,329950,547133.4042,610,1010,3,1.75,0.137029385,1,0,2,7,1080,1000,1971
115,480000,873449.3236,890,1620,4,2.5,0.371235078,2,0,3,9,2520,710,2001
116,740500,1197995.014,1370,2220,3,3.5,0.145775941,2,0,0,8,2780,1600,1900
117,518500,444775.6236,960,820,3,3.5,0.025298439,3,0,0,8,1590,0,2010
118,205425,241370.3896,380,450,2,1,0.155647383,1,0,0,6,880,0,1945
119,171800,268938.8288,320,500,4,2,0.220385675,1,0,0,6,1570,0,1950
120,535000,431902.3997,990,800,4,1,0.0684573,1.5,0,0,7,1610,0,1925
121,660000,751623.242,1220,1390,3,2.5,0.14862259,1,0,2,8,1560,840,1964
122,391500,288924.7207,720,530,3,2,0.209641873,1,0,0,7,1450,0,1987
123,395000,213060.7511,730,390,2,1,0.137741047,1,0,0,6,770,0,1953
124,445000,542182.2305,820,1000,4,1.75,0.101010101,1.5,0,0,7,1720,380,1924
125,770000,746750.4803,1430,1380,3,2.25,0.234251607,2,0,0,9,2910,0,1990
126,1.45E+06,844861.3626,2680,1560,4,2.75,0.408379247,1.5,0,0,8,1980,770,1914
127,445000,680217.8844,820,1260,3,2.25,0.188269054,1,0,2,8,1620,480,1967
128,260000,550139.0336,480,1020,4,2.25,0.202272727,1,0,0,8,1360,800,1978
129,822500,647864.1915,1520,1200,5,3.5,0.113865932,2,0,0,7,1720,600,1926
130,430000,296739.9386,800,550,4,2.5,0.098943985,2,0,0,7,2070,0,2004
131,212000,258913.0774,390,480,3,1.75,0.180785124,1,0,0,7,1060,0,1986
132,660500,495264.7427,1220,920,4,2.25,0.220454545,1,0,0,8,1440,570,1986
133,784000,922856.32,1450,1710,3,3.5,2.55,1.5,0,0,9,2460,1490,1989
134,453246,443487.7383,840,820,3,2.5,0.052502296,2,0,0,8,1390,620,2014
135,675000,626741.2166,1250,1160,4,3.5,0.052295684,3,0,0,9,2140,0,2005
136,199000,369722.7592,370,680,3,1.75,0.399219467,1,0,0,7,1320,0,1956
137,220000,437171.3486,410,810,4,1.75,0.179981635,1,0,0,7,1010,1010,1968
138,452000,645698.1462,840,1190,4,2.25,0.229614325,1,0,0,8,1340,1250,1968
139,382500,127794.9641,710,240,2,1,0.101928375,1,0,0,6,1190,0,1981
140,519950,331159.6796,960,610,3,2.25,0.028673095,3,0,0,8,1170,0,2014
141,665000,448961.2863,1230,830,2,1,0.073461892,1,0,0,7,1110,0,1925
142,527700,654384.6815,980,1210,5,2.5,0.215220386,1,0,0,8,1550,1270,1968
143,205000,378223.5605,380,700,3,1,0.19694674,1,0,0,7,1010,600,1962
144,420000,443284.1959,780,820,3,1,0.185881543,1,0,0,7,940,120,1923
145,500000,588685.7016,930,1090,4,2.25,0.195523416,1,0,0,8,1380,650,1961
146,921500,801008.8818,1710,1480,4,2.5,7.239990817,2,0,0,9,3670,0,1994
147,890000,743127.6191,1650,1370,4,1,0.091827365,2,0,0,8,2370,180,1905
148,430000,361764.78,800,670,2,2.5,1.4,2,0,0,7,2420,0,2007
149,258000,607834.8303,480,1120,5,2,0.286960514,1,0,0,8,1130,1130,1960
150,511000,409519.2276,950,760,3,1,0.079315886,1,0,0,7,980,450,1947
151,532170,407130.285,990,750,3,2,0.070936639,2,0,0,8,1360,0,1990
152,560000,350090.6251,1040,650,3,1,0.114784206,1.5,0,0,7,1110,0,1947
153,282950,330942.1964,520,610,3,1,0.188246097,1,0,0,7,1250,0,1954
154,2.25E+06,1634687.196,4160,3020,4,3.25,0.455693297,2,0,3,12,3540,1640,2006
155,350000,405888.6267,650,750,1,1,0.11707989,1,0,0,7,700,0,1942
156,215000,283449.6464,400,520,3,1,0.176056015,1,0,0,7,1180,0,1967
157,650000,882244.9773,1200,1630,5,3.5,0.579545455,2,0,0,9,2500,1460,1996
158,320000,666859.1252,590,1230,4,2.75,0.172176309,1,0,0,8,1620,1020,1967
159,247000,522354.9444,460,970,3,2,0.165243343,1.5,0,0,7,1270,0,1916
160,320000,472022.5801,590,870,4,1.75,0.256657484,1,0,0,8,1760,0,1968
161,255000,467850.4177,470,870,5,2.25,0.198163453,1,0,0,7,1030,1030,1962
162,438000,385776.1318,810,710,3,1.75,0.221763085,1,0,0,7,1780,0,1962
163,900000,963073.2849,1670,1780,3,2.5,0.381152433,2,0,0,10,3400,0,2000
164,441000,451303.6127,820,830,3,2.75,0.167125803,1,0,0,7,1160,750,1979
165,420000,441471.8486,780,820,3,2,0.879981635,1,0,0,7,1010,1010,1975
166,370000,353654.2422,680,650,3,1.75,0.160697888,1,0,0,7,1180,400,1976
167,269950,228403.5037,500,420,2,1.75,0.166437098,1,0,0,5,700,640,1949
168,807100,667530.1441,1490,1230,4,2.5,0.103282828,2,0,0,9,2680,0,1999
169,653000,639183.7137,1210,1180,3,2.5,0.223829201,1,0,0,8,1610,1070,1979
170,371500,362996.9598,690,670,3,2,0.191368228,1,0,0,7,1370,0,1964
171,284000,390926.5065,530,720,3,1.75,0.482093664,1,0,0,7,1560,0,1954
172,272000,390320.0324,500,720,3,1.75,0.163911846,1,0,0,7,1670,490,1978
173,313000,362258.2472,580,670,3,1.5,0.181634527,1.5,0,0,7,1340,0,1955
174,917500,1005649.215,1700,1860,4,2.5,0.80355831,2,0,0,10,2570,1310,1984
175,673000,569076.9867,1250,1050,4,2.25,0.188016529,2,0,0,8,2590,0,1980
176,425000,399718.2426,790,740,3,2.5,0.025252525,2,0,0,8,820,300,2008
177,399950,375583.9965,740,690,5,2.75,0.123966942,1,0,0,7,1320,650,1986
178,385000,380048.4169,710,700,3,1,0.110192837,1,0,0,6,1220,0,1901
179,269950,476719.7031,500,880,3,1.5,0.173553719,1,0,2,7,1320,630,1975
180,330000,403985.2007,610,750,2,1,0.188705234,1,0,0,7,1060,290,1949
181,260000,333069.309,480,620,3,2.5,0.133080808,2,0,0,7,1670,0,1988
182,470000,654664.6809,870,1210,4,3,0.117653811,1.5,0,0,7,1680,700,1925
183,589000,522722.1938,1090,970,4,3,0.220385675,2,0,0,7,2440,0,1961
184,163500,233725.9358,300,430,2,1.5,0.07848944,2,0,0,7,1050,0,1996
185,835000,757537.8603,1550,1400,4,2.75,0.307897153,2,0,0,9,2140,990,1993
186,1.10E+06,1136634.108,2030,2100,5,3,0.294995409,1,0,2,10,2090,2000,1986
187,269000,481375.6602,500,890,4,1.75,0.229568411,1,0,0,8,1100,390,1969
188,560000,489487.3549,1040,910,3,2.5,0.200734619,2,0,0,8,1900,0,1987
189,615000,363367.2735,1140,670,4,1,0.055096419,1.5,0,0,6,1330,0,1901
190,585188,587222.2724,1080,1090,3,2.25,0.230165289,1,0,0,8,1430,800,1975
191,305000,355370.1979,560,660,3,1.75,0.217630854,1,0,0,7,1220,430,1977
192,166950,178806.3553,310,330,3,1,0.202479339,1,0,0,6,1190,0,1959
193,799000,612755.7347,1480,1130,3,2.5,0.227203857,1,0,0,8,2140,0,1959
194,400000,509221.4889,740,940,3,2.5,0.172359963,1,0,0,7,1420,760,1962
195,230000,343339.5965,430,640,3,1,0.234802571,1,0,0,7,1060,0,1948
196,256883,415752.4993,480,770,3,2.5,0.115358127,2,0,0,8,1690,0,2003
197,423000,597109.3748,780,1100,4,2,0.148760331,1.5,0,0,7,1130,840,1920
198,465000,451464.1082,860,840,3,2.5,0.093755739,2,0,0,8,2150,0,2007
199,440000,305972.8584,810,570,3,2.5,1.519995409,2,0,0,7,1910,0,1997
200,385000,283207.9652,710,520,3,1.75,3.559986226,1,0,0,7,1350,0,1969
201,210000,223413.1966,390,410,3,1,0.269168962,1,0,0,6,860,0,1943
202,297000,467814.928,550,870,3,2.5,0.343250689,2,0,0,8,1940,0,1994
203,470000,329848.2251,870,610,3,1,0.114784206,1,0,0,7,1010,0,1952
204,226500,330307.9596,420,610,3,1.5,0.169191919,1,0,0,7,900,400,1976
205,274250,160166.0579,510,300,3,1,0.193985308,1,0,0,6,910,0,1962
206,840000,718377.7109,1550,1330,4,1.75,0.252754821,1,0,0,9,1630,850,1966
207,677900,481551.4852,1250,890,3,2.5,0.10530303,2,0,0,8,2440,0,2010
208,425000,456299.3078,790,840,3,1,0.134618916,1,0,0,7,1010,0,1915
209,180250,239508.4738,330,440,2,0.75,0.220385675,1,0,0,6,900,0,1941
210,464000,619862.8163,860,1150,6,3,0.078145087,2,0,0,7,1600,700,1920
211,320000,399994.5745,590,740,4,2.25,0.173989899,2,0,0,8,1550,0,1993
212,625504,356414.2448,1160,660,3,2.25,0.035950413,2,0,0,8,1060,210,2014
213,592500,652078.9672,1100,1210,4,2.5,0.276216713,1,0,0,9,2240,0,1983
214,465000,671622.4128,860,1240,3,2.5,0.411753903,2,0,0,9,2714,0,2005
215,477000,495661.377,880,920,4,2.75,0.143939394,2,0,0,8,1720,0,1978
216,280000,313249.5178,520,580,2,1,0.376492195,1,0,0,6,850,0,1923
217,1.51E+06,1041099.36,2780,1930,5,3,0.7684573,1,0,3,9,1870,1430,1957
218,445838,488067.3176,830,900,3,2.5,0.13067034,2,0,0,8,2250,0,2000
219,1.07E+06,1054084.982,1980,1950,2,2.25,0.341230487,1,0,3,8,1950,1950,1947
220,467000,542694.5131,860,1000,2,1.5,0.247933884,1,0,0,8,1320,0,1947
221,686000,813181.8212,1270,1500,4,2.5,0.147842057,2,0,0,10,2760,0,1999
222,279950,427512.7937,520,790,3,2,0.223829201,1,0,0,7,1350,400,1961
223,527000,501435.7826,980,930,4,2.25,0.446189164,2,0,0,8,2330,0,1987
224,325000,593568.7957,600,1100,3,2.25,0.367768595,1,0,0,8,1780,440,1966
225,328000,331769.6523,610,610,3,2.25,0.192355372,2,0,0,7,2020,0,1994
226,390000,447226.6202,720,830,3,2.25,0.172176309,1,0,0,7,1250,0,1942
227,479950,387239.6016,890,720,2,2,0.149586777,1,0,0,8,1510,0,2005
228,264950,378541.3476,490,700,4,2.25,0.223898072,1,0,0,7,1120,600,1978
229,235000,357831.08,430,660,3,1,0.35,1,0,0,7,980,450,1961
230,516500,264083.8263,960,490,3,2.5,0.108562902,2,0,0,7,1480,0,2004
231,655000,1319307.952,1210,2440,2,1.75,0.362672176,2,1,4,7,1230,220,1915
232,500000,486061.6596,930,900,4,2.75,0.352318641,1,0,0,7,2280,0,1960
233,315000,616864.4803,580,1140,6,2.75,0.168732782,1,0,0,8,1780,1160,1978
234,213000,187961.2534,390,350,2,1,0.23415978,1,0,0,6,1000,0,1961
235,475000,529614.4406,880,980,3,1.5,0.121212121,1.5,0,0,7,1620,860,1947
236,1.03E+06,1152692.887,1900,2130,5,4,0.643709826,2,0,0,10,3760,0,1983
237,416000,394589.6161,770,730,3,2,2.164830119,1,0,0,7,1640,580,1976
238,410000,550079.414,760,1020,4,1,0.108815427,1.5,0,0,7,1670,300,1904
239,800000,1055542.009,1480,1950,3,3.5,5.079981635,2,0,0,10,3530,300,1993
240,472000,1066140.62,870,1970,6,2.5,0.322176309,1,0,2,9,2350,2060,1965
241,225000,337914.481,420,630,3,1.75,0.195247934,1,0,0,7,1430,0,1968
242,210000,258084.9511,390,480,2,1,0.137741047,1,0,0,6,830,0,1940
243,455000,464273.1851,840,860,2,1,0.114784206,1.5,0,0,7,1430,0,1925
244,225000,201309.0455,420,370,3,1,0.190909091,1,0,0,6,1300,0,1954
245,480000,595603.071,890,1100,2,1,0.070247934,1,0,2,7,790,240,1918
246,363000,729540.1926,670,1350,3,2.5,0.272543618,2,0,0,9,2740,0,1990
247,2.40E+06,1560672.653,4440,2890,4,2.5,0.191781451,1,1,4,9,1830,1820,2000
248,181000,239725.466,330,440,2,1.5,0.117539027,1,0,0,6,720,0,1954
249,250000,354664.2426,460,660,4,2,0.167860422,1,0,0,7,2010,0,1976
250,481000,466198.3531,890,860,3,1.75,0.068870523,1,0,0,6,770,790,1918
251,260000,388124.0221,480,720,3,2,0.165495868,1,0,0,7,1240,570,1978
252,455000,798021.5139,840,1480,4,2.5,0.176423324,2,0,0,9,3360,0,2001
253,415000,417813.6562,770,770,3,2.25,0.831588613,2,0,0,8,1510,0,1991
254,349500,406961.3338,650,750,3,1,0.081221304,1,0,0,7,800,600,1953
255,245000,341218.5881,450,630,3,2.5,0.170844812,2,0,0,7,1730,0,1987
256,592500,608006.9207,1100,1120,2,2,0.210996327,1.5,0,2,7,1420,0,1928
257,385000,511320.6811,710,950,4,1.75,0.174931129,1,0,0,7,1180,1180,1955
258,315000,357151.8758,580,660,3,1.75,0.262970615,1,0,0,7,1200,380,1974
259,255000,243752.7195,470,450,3,1,0.233471074,1,0,0,7,1230,0,1979
260,693000,475419.9447,1280,880,4,2.5,0.101584022,2,0,0,8,2460,0,2006
261,780000,651433.8705,1440,1200,3,1,0.101010101,1.5,0,0,8,1460,200,1911
262,237000,356259.1772,440,660,3,1.75,0.194444444,1,0,0,7,1270,0,1960
263,525000,818790.9336,970,1510,3,2.25,0.929981635,2,0,0,10,1320,780,1979
264,425000,160040.1038,790,300,2,1,0.115702479,1,0,0,5,770,0,1930
265,369900,905297.6346,680,1670,1,0.75,0.231382002,1,1,4,5,760,0,1936
266,290000,312232.4927,540,580,4,2.5,0.167125803,2,0,0,7,1700,0,1988
267,285000,324668.2994,530,600,3,1,0.245661157,1,0,0,7,1120,0,1954
268,415000,406096.7021,770,750,2,1,0.103305785,1,0,0,7,1070,0,1937
269,272500,566982.1436,500,1050,3,2.5,0.227272727,1,0,0,8,1420,650,1979
270,2.90E+06,1715481.992,5360,3170,4,3.25,0.461432507,1.5,0,2,11,4750,300,1982
271,1.37E+06,1844650.465,2530,3410,4,4.75,1.316483012,2,0,0,11,5310,0,1989
272,436000,397361.5179,810,740,2,1,0.173048669,1,0,0,7,1040,0,1939
273,210000,315849.483,390,580,3,1,0.261478421,1,0,0,7,1700,0,1967
274,236000,310200.6336,440,570,3,1,0.135399449,1,0,0,7,1300,0,1961
275,331000,435558.2336,610,810,3,1.75,0.029981635,1,0,0,7,580,500,1954
276,365000,529747.2523,680,980,3,2.5,0.103535354,2,0,0,8,2653,0,2006
277,450000,597233.8566,830,1100,3,2,0.373232323,1,0,0,8,2290,0,1960
278,770000,790425.3814,1420,1460,4,2.75,0.603764922,2,0,0,9,2850,970,2014
279,455000,456182.6424,840,840,4,2.5,1.133494031,1,0,0,8,2210,0,1997
280,405000,562132.8161,750,1040,3,1.75,0.137741047,1,0,0,6,1240,1150,1908
281,304900,461738.8852,560,850,4,1.75,0.259986226,1,0,0,7,1610,990,1969
282,170000,289511.2361,310,540,2,1,0.120867769,1,0,0,6,860,0,1931
283,2.05E+06,1202204.307,3790,2220,5,3,0.194674013,2,0,1,9,2630,1200,1905
284,780000,818053.0445,1440,1510,4,2.5,0.161799816,2,0,0,9,3500,0,2005
285,330000,593645.5427,610,1100,3,3,0.320454545,1,0,0,8,1740,680,1988
286,370000,697197.2636,680,1290,4,2.5,0.198943985,2,0,0,9,2720,0,1992
287,467000,407986.4163,860,750,5,2.25,0.309917355,1,0,0,7,1850,650,1979
288,405000,356592.4517,750,660,3,1.75,0.154269972,1,0,0,7,1140,530,1980
289,675000,599016.925,1250,1110,5,2.25,0.236455464,1,0,0,8,1450,1450,1985
290,500000,417087.2409,930,770,2,1,0.32369146,1,0,0,7,1140,500,1954
291,389999,396239.1692,720,730,4,2.5,0.362029385,2,0,0,7,1890,0,1968
292,630000,709934.4484,1170,1310,4,1.75,0.207185491,1,0,2,8,1780,1170,1975
293,360000,611537.4203,670,1130,4,2.5,0.218732782,2,0,0,9,2160,0,1992
294,580000,685079.5592,1070,1270,4,3,0.253902663,2,0,0,8,2270,1010,1986
295,550000,852611.1915,1020,1580,3,2,0.0956382,2,0,3,8,1270,700,1929
296,879000,949522.9818,1630,1760,4,2.5,0.507598714,2,0,0,10,3360,0,1994
297,265000,260663.1726,490,480,3,2,0.20567034,1,0,0,7,1320,0,1993
298,446500,583153.9654,830,1080,3,2.5,0.167263545,2,0,0,8,2650,0,1990
299,404000,431717.8933,750,800,3,1.5,0.203856749,1,0,0,7,1330,700,1963
300,267500,523732.3522,490,970,3,1.75,0.273507805,1,0,2,7,1090,500,1957
301,3.08E+06,1952912.17,5690,3610,4,5,0.427938476,1,1,4,10,2600,1950,2002
302,335000,521686.1167,620,970,3,2.5,0.175206612,2,0,0,8,2440,0,1998
303,576000,566646.2492,1070,1050,3,2.5,0.20661157,1,0,0,7,970,970,1948
304,208633,441539.4206,390,820,3,2.5,0.087465565,2,0,0,8,2040,0,2006
305,315000,516767.3327,580,960,3,2.25,0.20087236,1,0,0,7,1120,1080,1964
306,725000,773826.6079,1340,1430,3,1.75,0.075757576,1,0,0,8,960,960,1913
307,550000,571517.4867,1020,1060,4,2.75,0.177915519,1,0,0,8,1400,400,1965
308,610750,495127.0831,1130,920,4,2.25,0.16751607,2,0,0,8,2180,0,1984
309,550700,371398.2251,1020,690,2,1,0.114784206,1.5,0,0,6,1010,0,1908
310,665000,765088.3627,1230,1420,4,2.75,0.242745638,2,0,0,8,2220,1100,1960
311,834000,829242.4441,1540,1530,4,2.5,0.091827365,1.5,0,2,8,1980,390,1928
312,201000,336253.12,370,620,5,1.75,1.8,1.5,0,0,6,1660,0,1915
313,2.38E+06,1414164.598,4410,2620,5,2.5,0.207759412,2,0,4,10,3370,280,1921
314,1.38E+06,1350247.033,2560,2500,4,3.25,0.277846648,1,0,3,11,2690,1600,1997
315,1.40E+06,1350247.033,2590,2500,4,3.25,0.277846648,1,0,3,11,2690,1600,1997
316,305000,518575.2134,560,960,4,2.25,0.176767677,1,0,0,8,1350,600,1979
317,487000,695368.7186,900,1290,3,2,0.322589532,1,0,0,8,1720,870,1948
318,390000,471447.5818,720,870,3,2.5,1.489990817,1,0,0,8,1930,0,1988
319,548000,523748.1357,1010,970,2,1,0.088705234,1,0,0,7,1170,300,1916
